nombre_completo,cargo,dummy_ci,gastos_totales,tope_de_gastos,por_tope
Lorenzo Daniel Ludlow Kuri,Diputado Federal MR,Otros,2154703.91,1432111,150.5
Luis Alberto Luna Espinoza,Diputado Federal MR,Otros,1618488.65,1432111,113
Lorenzo Ricardo Garcia De Leon Coria,Senadores MR,C. Independiente,3173572.83,2864222,110.8
Esau Magallanes Alonso,Diputado Federal MR,Otros,1483256.6900000002,1432111,103.6
Minerva Hernandez Ramos,Senadores MR,Otros,4417332.31,4296333,102.8
Alberto Esquer Gutierrez,Diputado Federal MR,Otros,1379428.08,1432111,96.3
Obed Javier Cruz Perez,Senadores MR,C. Independiente,4114980.2699999996,4296333,95.8
Mely Romero Celis,Diputado Federal MR,Otros,1360420.66,1432111,95
Agustin Carlos Basave Alanis,Diputado Federal MR,Otros,1356231.9,1432111,94.7
Jorge Omar Velazquez Ruiz,Diputado Federal MR,Otros,1354173.65,1432111,94.6
Neil Martin Perez Campos,Diputado Federal MR,Otros,1347644.1800000002,1432111,94.1
Martha Elisa Gonzalez Estrada,Diputado Federal MR,Otros,1348101.16,1432111,94.1
Sarai Nuñez Ceron,Diputado Federal MR,Otros,1344379.17,1432111,93.9
Francisco Pelayo Covarrubias,Senadores MR,Otros,2680726.0999999996,2864222,93.6
Yolanda Guadalupe Valladares Valle,Senadores MR,Otros,2668200.4699999997,2864222,93.2
Monica Bedoya Serna,Diputado Federal MR,Otros,1319774.5,1432111,92.2
Polimnia Romana Sierra Barcena,Diputado Federal MR,Otros,1313382.52,1432111,91.7
Maria Guadalupe Saldaña Cisneros,Senadores MR,Otros,2623583.07,2864222,91.6
Ricardo Mejia Berdeja,Diputado Federal MR,Otros,1295768.2,1432111,90.5
Leonardo Montañez Castro,Diputado Federal MR,Otros,1268924.92,1432111,88.6
Esther Martha Chavarria,Diputado Federal MR,Otros,1261475.38,1432111,88.1
Minerva Castillo Rodriguez,Diputado Federal MR,Otros,1259716.33,1432111,88
Emilio Alvarez Icaza Longoria,Senadores MR,Otros,25022179.32,28642220,87.4
Jose Ricardo Gallardo Cardona,Diputado Federal MR,Otros,1247487.31,1432111,87.1
Eda Maria Palacios Marquez,Diputado Federal MR,Otros,1245766.1300000001,1432111,87
Maria Juana Rojas Coate,Diputado Federal MR,Otros,1241122.17,1432111,86.7
Moises Aaron Rivas Loaiza,Diputado Federal MR,Otros,1238507.4600000002,1432111,86.5
Juan Manuel Zepeda Hernandez,Senadores MR,Otros,24680403.220000003,28642220,86.2
Vicente Alberto Onofre Vazquez,Diputado Federal MR,Otros,1233936.89,1432111,86.2
Nestor Camarillo Medina,Diputado Federal MR,Otros,1232256.34,1432111,86
Ma Del Rosario Gonzalez Flores,Diputado Federal MR,Otros,1227397.57,1432111,85.7
Maria Sol Arroniz De La Huerta,Diputado Federal MR,Otros,1223676.1,1432111,85.4
Mary Carmen Bernal Martinez,Diputado Federal MR,Otros,1218665.38,1432111,85.1
Ivideliza Reyes Hernandez,Diputado Federal MR,Otros,1218380.81,1432111,85.1
Ricardo Anaya Cortes,Presidente,Otros,365301984.37,429633325,85
Jose Clemente Castañeda Hoeflich,Senadores MR,Otros,24319871.52,28642220,84.9
Maria Elena Abaroa Lopez,Senadores MR,Otros,2423135.5700000003,2864222,84.6
Mauricio Prieto Gomez,Diputado Federal MR,Otros,1205168.6700000002,1432111,84.2
Jose Carlos Serrato Castell,Diputado Federal MR,Otros,1204491.53,1432111,84.1
Elias Ibarra Torres,Diputado Federal MR,Otros,1202020.9300000002,1432111,83.9
Luis Alberto Mendoza Acevedo,Diputado Federal MR,Otros,1200120.6900000002,1432111,83.8
Maria De Guadalupe Arrubarrena Garcia,Diputado Federal MR,Otros,1194264.6800000002,1432111,83.4
Maiella Martha Gabriela Gomez Maldonado,Diputado Federal MR,Otros,1192593.68,1432111,83.3
Ivan Arturo Perez Negron Ruiz,Diputado Federal MR,Otros,1191179.26,1432111,83.2
Mariana Gomez Del Campo Gurza,Diputado Federal MR,Otros,1192039.65,1432111,83.2
Solange Maria Soler Lanz,Diputado Federal MR,Otros,1192148.3199999998,1432111,83.2
Miguel Alonso Riggs Baeza,Diputado Federal MR,Otros,1188801.37,1432111,83
Martha Hortencia Garay Cadena,Diputado Federal MR,Otros,1188847.15,1432111,83
Ileana Jannette Herrera Perez,Diputado Federal MR,Otros,1187174.73,1432111,82.9
Guadalupe Jasmin Rojas Jasso,Diputado Federal MR,Otros,1183636.56,1432111,82.6
Juan Antonio Martin Del Campo Martin Del Campo,Senadores MR,Otros,3490557.92,4296333,81.2
Jorge Fouad Aguilar Chedraui,Diputado Federal MR,Otros,1163003.21,1432111,81.2
Carmen Erendira Castellanos Pallares,Diputado Federal MR,Otros,1161122.0699999998,1432111,81.1
Veronica Delgadillo Garcia,Senadores MR,Otros,23187234.5,28642220,81
Sofia Bautista Zambrano,Diputado Federal MR,Otros,1159449.87,1432111,81
Carmen Julia Prudencio Gonzalez,Diputado Federal MR,Otros,1157662.2499999998,1432111,80.8
Rodrigo Cerda Cornejo,Diputado Federal MR,C. Independiente,1155353.08,1432111,80.7
Miguel Ramon Martin Azueta,Diputado Federal MR,Otros,1152794.44,1432111,80.5
Ramon Demetrio Guerrero Martinez,Diputado Federal MR,Otros,1152813.2300000002,1432111,80.5
Maria Guadalupe Sanchez Santiago,Diputado Federal MR,Otros,1145393.8699999999,1432111,80
Venancio Luis Sanchez Jimenez,Diputado Federal MR,Otros,1143569.6600000001,1432111,79.9
Jose Vidal Jimenez Ramirez,Diputado Federal MR,Otros,1144173.05,1432111,79.9
Vicente Javier Verastegui Ostos,Diputado Federal MR,Otros,1144180.93,1432111,79.9
Ignacio Benjamin Campos Equihua,Diputado Federal MR,Otros,1142835.72,1432111,79.8
Jose Guadalupe Aguilera Rojas,Diputado Federal MR,Otros,1142306.41,1432111,79.8
Dulce Margarita Arellano Gourcy,Diputado Federal MR,Otros,1138922.8199999998,1432111,79.5
Dulce Maria Cervera Cetina,Diputado Federal MR,Otros,1129608.31,1432111,78.9
Francisco Javier Luevano Nuñez,Diputado Federal MR,Otros,1124312.28,1432111,78.5
Lilia Guadalupe Merodio Reza,Diputado Federal MR,Otros,1121281.42,1432111,78.3
Indira Vizcaino Silva,Diputado Federal MR,Otros,1120169.59,1432111,78.2
