nombre_completo,cargo_de_eleccion,total_ingresos,financiamiento_publico,porcentaje_ingresos_privados
Margarita Ester Zavala Gomez Del Campo,Presidente,14845691.36,0,100
Jaime Heliodoro Rodriguez Calderon,Presidente,10135803.53,0,100
Manuel Jesus Clouthier Carrillo,Senadores MR,2251139.92,0,100
Juana Adelfa Delgado Quintana,Senadores MR,380516.52,0,100
Jose Guadalupe Hernandez Vieyra,Senadores MR,52171.58,0,100
Monica Gricelda Garza Candia,Senadores MR,49535.66,0,100
Maria Antonieta Perez Reyes,Diputado Federal MR,979820.92,565307,42.30506937941272
Daniel Altafi Valladares,Diputado Federal MR,884657,565307,36.0987365724795
Jose Pedro Kumamoto Aguilar,Senadores MR,5231018.93,3723488,28.819068525144864
Raul Guajardo Cantu,Diputado Federal MR,772140.87,565307,26.78706412730102
Pablo Ricardo Montaño Beckmann,Diputado Federal MR,771333.42,565397,26.698754994954065
Pablo Abner Salazar Mendiguchia,Senadores MR,5017760.55,3723488,25.793828483904036
Luisa Maria De Guadalupe Calderon Hinojosa,Diputado Federal MR,757612.86,565307,25.3831303761132
Alejandro Eric Cruz Juarez,Diputado Federal MR,751081,565307,24.734216416072304
Martha Beatriz Cordova Bernal,Diputado Federal MR,726207,565307,22.1562171667307
Luis Angel Benavides Garza,Diputado Federal MR,711127.45,565307,20.505529634666747
Rodrigo Cerda Cornejo,Diputado Federal MR,707241.48,565307,20.068743705473835
Ivan Antonio Perez Ruiz,Diputado Federal MR,703307,565307,19.621587727692173
Jurgen Ganser Carbajal,Diputado Federal MR,702247,565307,19.500261304071074
Alberto Valencia Bañuelos,Diputado Federal MR,701658.69,565307,19.43276580811676
Jesus Humberto Alfaro Bedoya,Diputado Federal MR,679209.38,565307,16.769847907577486
Enrique Alonso Plascencia,Diputado Federal MR,674737,565307,16.218170931785274
Yamilett Orduña Saide,Diputado Federal MR,667477.8,565307,15.306995977993582
Daniela Gonzalez Rodriguez,Diputado Federal MR,661572.48,565307,14.551010344323872
Jose Terencio Valenzuela Gallegos,Diputado Federal MR,660541.47,565307,14.417636791222204
Mario Hernandez Herrera,Diputado Federal MR,658158.19,565307,14.107731455867768
Carlos Alberto Manzo Rodriguez,Diputado Federal MR,654707.1,565307,13.654976400897437
Angel Alberto Barroso Correa,Diputado Federal MR,647713.91,565307,12.722732787998952
Daniel Nieto Martinez,Diputado Federal MR,629857,565307,10.248357960616456
Julio Cesar Osorio Perez,Diputado Federal MR,629207,565307,10.155640353651501
Rolando Ivan Valdez Hernandez,Diputado Federal MR,622281.25,565307,9.155707326871893
Olga Valentina Treviño Hinojosa,Diputado Federal MR,621566.45,565307,9.051236597470787
Anibal Gomez Marquina,Diputado Federal MR,624703,568703,8.964259816264688
Julio Hugo Sanchez Quiroz,Diputado Federal MR,619017.11,565307,8.676676158434455
Obilfrido Gomez Alvarez,Diputado Federal MR,618307,565307,8.571793623555935
Raul Gonzalez Rodriguez,Senadores MR,4012220.43,3723488,7.1963252029001845
Victor Joel Echeverria Valenzuela,Diputado Federal MR,607307,565307,6.915777358074253
David Eugenio Elizondo Cantu,Diputado Federal MR,604567.46,565307,6.49397504787968
Jesus Siller Rojas,Diputado Federal MR,603765.63,565307,6.369794517783333
Obed Javier Cruz Perez,Senadores MR,3967730.29,3723488,6.1557180591526555
Gregorio Farias Mateos,Diputado Federal MR,597784.84,565307,5.433031724257171
Maria Graciela Parra Lopez,Diputado Federal MR,593094,565307,4.685092076466799
Nora Vanessa Estrada Calles,Diputado Federal MR,591877,565307,4.48910837893684
Iris Paola Gomez De La Cruz,Diputado Federal MR,590196.35,565307,4.217130451586151
Lorenzo Ricardo Garcia De Leon Coria,Senadores MR,2939526.01,2864222,2.5617738963296257
Carlos Arturo Cordova Cobos,Diputado Federal MR,575307,565307,1.7382023858565947
Soledad Romero Espinal,Senadores MR,3752847.9,3723490.4,0.782272577580349
Juan Jesus Antonio Manzur Oudie,Diputado Federal MR,566307,565307,0.1765826662923114
Paul Alfonso Lopez De Santa Anna Baeza,Diputado Federal MR,565307,565307,0
Pedro Gustavo Barragan Nuño,Diputado Federal MR,565307,565307,0
